session_id,session_title,turn_index,token_delta,end_total_tokens,token_events,turn_input_tokens,turn_cached_input_tokens,turn_uncached_input_tokens,turn_effective_input_tokens_at_0.1x_cached,turn_output_tokens,turn_reasoning_output_tokens,avg_input_tokens_per_token_event,avg_cached_input_tokens_per_token_event,avg_uncached_input_tokens_per_token_event,avg_output_tokens_per_token_event,tool_call_count,tool_call_summary,last_input_tokens,last_cached_input_tokens,last_output_tokens,last_reasoning_output_tokens,message
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,1,43527,43527,1,43241,4992,38249,38748,286,0,43241,4992,38249,286,3,exec_command:3,43241,4992,286,0,model call / token_count event 1
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,2,45099,88626,1,44729,4992,39737,40236,370,58,44729,4992,39737,370,3,exec_command:3,44729,4992,370,58,model call / token_count event 2
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,3,46446,135072,1,45411,42880,2531,6819,1035,343,45411,42880,2531,1035,1,exec_command:1,45411,42880,1035,343,model call / token_count event 3
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,4,47726,182798,1,46986,44928,2058,6551,740,91,46986,44928,2058,740,1,exec_command:1,46986,44928,740,91,model call / token_count event 4
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,5,47932,230730,1,47773,46976,797,5495,159,9,47773,46976,797,159,1,exec_command:1,47773,46976,159,9,model call / token_count event 5
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,6,50377,281107,1,48054,44416,3638,8080,2323,639,48054,44416,3638,2323,1,exec_command:1,48054,44416,2323,639,model call / token_count event 6
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,7,50682,331789,1,50422,48000,2422,7222,260,12,50422,48000,2422,260,2,exec_command:2,50422,48000,260,12,model call / token_count event 7
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,8,51197,382986,1,51077,47488,3589,8338,120,34,51077,47488,3589,120,1,exec_command:1,51077,47488,120,34,model call / token_count event 8
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,9,53802,436788,1,53616,51072,2544,7651,186,10,53616,51072,2544,186,1,exec_command:1,53616,51072,186,10,model call / token_count event 9
019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,Carson - notebook-carson-019ec69e-fa32-7283-b6c6-fc26f2e1d8d8,10,58259,495047,1,58073,53120,4953,10265,186,28,58073,53120,4953,186,1,exec_command:1,58073,53120,186,28,model call / token_count event 10
